Coefficient of Variation for Change: Percent Total by All Categories

+------------+--------+----------+-----------+-----------------+---------+
|  variable  | table  | sumlevel | change_cv | change_cv_count | percent |
| b01001_007 | b01001 |   256    |   medium  |        5        |   12.2  |
| b01001_007 | b01001 |   258    |    low    |        72       |   97.3  |
| b01001_007 | b01001 |   258    |   medium  |        2        |   2.7   |
| b01001_007 | b01001 |   310    |    low    |       192       |   56.8  |
| b01001_007 | b01001 |   310    |   medium  |        95       |   28.1  |
| b01001_007 | b01001 |   310    |    high   |        51       |   15.1  |
| b01001_007 | b01001 |   400    |    low    |       585       |   90.4  |
| b01001_007 | b01001 |   400    |   medium  |        50       |   7.7   |
| b01001_007 | b01001 |   400    |    high   |        12       |   1.9   |
| b01001_007 | b01001 |   500    |    low    |       125       |   70.2  |
| b01001_007 | b01001 |   500    |   medium  |        46       |   25.8  |
| b01001_007 | b01001 |   500    |    high   |        7        |   3.9   |
| b01001_007 | b01001 |   795    |    low    |       494       |   79.8  |
| b01001_007 | b01001 |   795    |   medium  |       103       |   16.6  |
| b01001_007 | b01001 |   795    |    high   |        22       |   3.6   |
| b01001_007 | b01001 |   860    |    low    |       3547      |   96.9  |
| b01001_007 | b01001 |   860    |   medium  |       106       |   2.9   |
| b01001_007 | b01001 |   860    |    high   |        9        |   0.2   |
| b01001_008 | b01001 |   010    |    high   |        1        |  100.0  |
| b01001_008 | b01001 |   020    |    low    |        1        |   25.0  |
| b01001_008 | b01001 |   020    |   medium  |        2        |   50.0  |
| b01001_008 | b01001 |   020    |    high   |        1        |   25.0  |
| b01001_008 | b01001 |   030    |    low    |        3        |   42.9  |
| b01001_008 | b01001 |   030    |   medium  |        3        |   42.9  |
| b01001_008 | b01001 |   030    |    high   |        1        |   14.3  |
| b01001_008 | b01001 |   040    |    low    |        15       |   68.2  |
| b01001_008 | b01001 |   040    |   medium  |        5        |   22.7  |
| b01001_008 | b01001 |   040    |    high   |        2        |   9.1   |
| b01001_008 | b01001 |   050    |    low    |       505       |   95.5  |
| b01001_008 | b01001 |   050    |   medium  |        24       |   4.5   |
| b01001_008 | b01001 |   060    |    low    |       2072      |   98.6  |
| b01001_008 | b01001 |   060    |   medium  |        27       |   1.3   |
| b01001_008 | b01001 |   060    |    high   |        2        |   0.1   |
| b01001_008 | b01001 |   140    |    low    |       6136      |   99.7  |
| b01001_008 | b01001 |   140    |   medium  |        18       |   0.3   |
| b01001_008 | b01001 |   140    |    high   |        1        |   0.0   |
| b01001_008 | b01001 |   150    |    low    |       4740      |   99.6  |
| b01001_008 | b01001 |   150    |   medium  |        19       |   0.4   |
| b01001_008 | b01001 |   150    |    high   |        2        |   0.0   |
| b01001_008 | b01001 |   160    |    low    |       1359      |   98.3  |
| b01001_008 | b01001 |   160    |   medium  |        23       |   1.7   |
| b01001_008 | b01001 |   160    |    high   |        1        |   0.1   |
| b01001_008 | b01001 |   170    |    low    |        2        |  100.0  |
| b01001_008 | b01001 |   250    |    low    |        47       |   97.9  |
| b01001_008 | b01001 |   250    |   medium  |        1        |   2.1   |
| b01001_008 | b01001 |   251    |    low    |        23       |  100.0  |
| b01001_008 | b01001 |   256    |    low    |        33       |   97.1  |
| b01001_008 | b01001 |   256    |   medium  |        1        |   2.9   |
| b01001_008 | b01001 |   258    |    low    |        39       |  100.0  |
| b01001_008 | b01001 |   310    |    low    |       131       |   92.3  |
| b01001_008 | b01001 |   310    |   medium  |        11       |   7.7   |
| b01001_008 | b01001 |   400    |    low    |       439       |   97.3  |
| b01001_008 | b01001 |   400    |   medium  |        12       |   2.7   |
| b01001_008 | b01001 |   500    |    low    |        83       |   88.3  |
| b01001_008 | b01001 |   500    |   medium  |        11       |   11.7  |
| b01001_008 | b01001 |   795    |    low    |       409       |   95.8  |
| b01001_008 | b01001 |   795    |   medium  |        18       |   4.2   |
| b01001_008 | b01001 |   860    |    low    |       2488      |   98.8  |
| b01001_008 | b01001 |   860    |   medium  |        29       |   1.2   |
| b01001_009 | b01001 |   010    |    high   |        1        |  100.0  |
| b01001_009 | b01001 |   020    |   medium  |        2        |   66.7  |
| b01001_009 | b01001 |   020    |    high   |        1        |   33.3  |
| b01001_009 | b01001 |   030    |    low    |        3        |   50.0  |
| b01001_009 | b01001 |   030    |   medium  |        2        |   33.3  |
| b01001_009 | b01001 |   030    |    high   |        1        |   16.7  |
| b01001_009 | b01001 |   040    |    low    |        13       |   72.2  |
| b01001_009 | b01001 |   040    |   medium  |        3        |   16.7  |
| b01001_009 | b01001 |   040    |    high   |        2        |   11.1  |
| b01001_009 | b01001 |   050    |    low    |       510       |   95.0  |
| b01001_009 | b01001 |   050    |   medium  |        25       |   4.7   |
| b01001_009 | b01001 |   050    |    high   |        2        |   0.4   |
| b01001_009 | b01001 |   060    |    low    |       1930      |   98.5  |
| b01001_009 | b01001 |   060    |   medium  |        28       |   1.4   |
| b01001_009 | b01001 |   060    |    high   |        2        |   0.1   |
| b01001_009 | b01001 |   140    |    low    |       5874      |   99.5  |
| b01001_009 | b01001 |   140    |   medium  |        32       |   0.5   |
| b01001_009 | b01001 |   150    |    low    |       4579      |   99.4  |
| b01001_009 | b01001 |   150    |   medium  |        25       |   0.5   |
| b01001_009 | b01001 |   150    |    high   |        1        |   0.0   |
| b01001_009 | b01001 |   160    |    low    |       1293      |   98.3  |
| b01001_009 | b01001 |   160    |   medium  |        21       |   1.6   |
| b01001_009 | b01001 |   160    |    high   |        1        |   0.1   |
| b01001_009 | b01001 |   170    |    low    |        1        |  100.0  |
| b01001_009 | b01001 |   250    |    low    |        31       |   88.6  |
| b01001_009 | b01001 |   250    |   medium  |        4        |   11.4  |
| b01001_009 | b01001 |   251    |    low    |        23       |   95.8  |
| b01001_009 | b01001 |   251    |   medium  |        1        |   4.2   |
| b01001_009 | b01001 |   256    |    low    |        46       |   97.9  |
| b01001_009 | b01001 |   256    |   medium  |        1        |   2.1   |
| b01001_009 | b01001 |   258    |    low    |        53       |   98.1  |
| b01001_009 | b01001 |   258    |   medium  |        1        |   1.9   |
| b01001_009 | b01001 |   310    |    low    |       130       |   92.9  |
| b01001_009 | b01001 |   310    |   medium  |        9        |   6.4   |
| b01001_009 | b01001 |   310    |    high   |        1        |   0.7   |
| b01001_009 | b01001 |   400    |    low    |       420       |   97.2  |
| b01001_009 | b01001 |   400    |   medium  |        11       |   2.5   |
| b01001_009 | b01001 |   400    |    high   |        1        |   0.2   |
| b01001_009 | b01001 |   500    |    low    |        81       |   90.0  |
| b01001_009 | b01001 |   500    |   medium  |        9        |   10.0  |
| b01001_009 | b01001 |   795    |    low    |       382       |   96.0  |
| b01001_009 | b01001 |   795    |   medium  |        16       |   4.0   |
| b01001_009 | b01001 |   860    |    low    |       2478      |   98.8  |
| b01001_009 | b01001 |   860    |   medium  |        29       |   1.2   |
| b01001_010 | b01001 |   020    |    low    |        2        |   50.0  |
| b01001_010 | b01001 |   020    |   medium  |        2        |   50.0  |
| b01001_010 | b01001 |   030    |    low    |        2        |   28.6  |
| b01001_010 | b01001 |   030    |   medium  |        4        |   57.1  |
