"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b25064"	"b25064_001"	"250"	"low"	76
"b25064"	"b25064_001"	"250"	"medium"	11
"b25064"	"b25064_001"	"251"	"high"	2
"b25064"	"b25064_001"	"251"	"low"	40
"b25064"	"b25064_001"	"251"	"medium"	7
"b25064"	"b25064_001"	"256"	"high"	1
"b25064"	"b25064_001"	"256"	"low"	63
"b25064"	"b25064_001"	"256"	"medium"	13
"b25064"	"b25064_001"	"258"	"high"	1
"b25064"	"b25064_001"	"258"	"low"	113
"b25064"	"b25064_001"	"258"	"medium"	21
"b25064"	"b25064_001"	"310"	"high"	52
"b25064"	"b25064_001"	"310"	"low"	190
"b25064"	"b25064_001"	"310"	"medium"	81
"b25064"	"b25064_001"	"400"	"high"	72
"b25064"	"b25064_001"	"400"	"low"	625
"b25064"	"b25064_001"	"400"	"medium"	169
"b25064"	"b25064_001"	"500"	"high"	133
"b25064"	"b25064_001"	"500"	"low"	75
"b25064"	"b25064_001"	"500"	"medium"	83
"b25064"	"b25064_001"	"795"	"high"	282
"b25064"	"b25064_001"	"795"	"low"	607
"b25064"	"b25064_001"	"795"	"medium"	498
"b25064"	"b25064_001"	"860"	"high"	295
"b25064"	"b25064_001"	"860"	"low"	4558
"b25064"	"b25064_001"	"860"	"medium"	1520
"b25070"	"b25070_001"	"010"	"high"	1
"b25070"	"b25070_001"	"020"	"high"	4
"b25070"	"b25070_001"	"030"	"high"	8
"b25070"	"b25070_001"	"030"	"medium"	1
"b25070"	"b25070_001"	"040"	"high"	25
"b25070"	"b25070_001"	"040"	"low"	4
"b25070"	"b25070_001"	"040"	"medium"	17
"b25070"	"b25070_001"	"050"	"high"	51
"b25070"	"b25070_001"	"050"	"low"	662
"b25070"	"b25070_001"	"050"	"medium"	173
"b25070"	"b25070_001"	"060"	"high"	59
"b25070"	"b25070_001"	"060"	"low"	4949
"b25070"	"b25070_001"	"060"	"medium"	369
"b25070"	"b25070_001"	"140"	"high"	115
"b25070"	"b25070_001"	"140"	"low"	12371
"b25070"	"b25070_001"	"140"	"medium"	1289
"b25070"	"b25070_001"	"150"	"high"	124
"b25070"	"b25070_001"	"150"	"low"	32090
"b25070"	"b25070_001"	"150"	"medium"	1644
"b25070"	"b25070_001"	"160"	"high"	43
"b25070"	"b25070_001"	"160"	"low"	3882
"b25070"	"b25070_001"	"160"	"medium"	342
"b25070"	"b25070_001"	"170"	"high"	1
"b25070"	"b25070_001"	"170"	"low"	4
"b25070"	"b25070_001"	"170"	"medium"	2
"b25070"	"b25070_001"	"250"	"high"	1
"b25070"	"b25070_001"	"250"	"low"	89
"b25070"	"b25070_001"	"250"	"medium"	9
"b25070"	"b25070_001"	"251"	"low"	76
"b25070"	"b25070_001"	"251"	"medium"	5
"b25070"	"b25070_001"	"256"	"low"	70
"b25070"	"b25070_001"	"256"	"medium"	12
"b25070"	"b25070_001"	"258"	"low"	155
"b25070"	"b25070_001"	"258"	"medium"	8
"b25070"	"b25070_001"	"310"	"high"	30
"b25070"	"b25070_001"	"310"	"low"	183
"b25070"	"b25070_001"	"310"	"medium"	70
"b25070"	"b25070_001"	"400"	"high"	34
"b25070"	"b25070_001"	"400"	"low"	626
"b25070"	"b25070_001"	"400"	"medium"	97
"b25070"	"b25070_001"	"500"	"high"	38
"b25070"	"b25070_001"	"500"	"low"	112
"b25070"	"b25070_001"	"500"	"medium"	112
"b25070"	"b25070_001"	"795"	"high"	39
"b25070"	"b25070_001"	"795"	"low"	711
"b25070"	"b25070_001"	"795"	"medium"	339
"b25070"	"b25070_001"	"860"	"high"	35
"b25070"	"b25070_001"	"860"	"low"	5085
"b25070"	"b25070_001"	"860"	"medium"	579
"b25070"	"b25070_002"	"010"	"high"	1
"b25070"	"b25070_002"	"020"	"high"	4
"b25070"	"b25070_002"	"030"	"high"	8
